Game	Centipede
Description	Address Lines
Author	Brien King
Contributors	
Notes	
Start	
Stop	
Clock	
Stop to start	
Clock to Phase2	
Enable addr counter	
Start to A15	
Force Write	FALSE
NOP Mode	FALSE
Signal	Location	Pin	Signature
AB0	C1	12	UUUU
AB1	C1	14	5555
AB2	C1	16	CCCC
AB3	C1	18	7F7F
AB4	C1	9	5H21
AB5	C1	7	0AFA
AB6	C1	5	UPFH
AB7	C1	3	52F8
AB8	B1	12	HC89
AB9	B1	14	2H70
AB10	B1	16	HPP0
AB11	B1	5	1293
AB12	B1	3	HAP7
A13	C2	23	3C96
A14	C2	24	3827
A15	C2	25	755U
